food_portion_id,fdc_id,"ingredient_name"
94948,174817,"Alcoholic beverage, distilled, rum, 80 proof"
89544,171908,"Alcoholic beverages, wine, rose"
85131,169572,"Alcoholic beverage, beer, light, BUD LIGHT"
85137,169575,"Alcoholic beverage, beer, light, low carb"
83688,168747,"Alcoholic beverage, beer, regular, BUDWEISER"
83690,168748,"Alcoholic beverage, beer, light, BUDWEISER SELECT"
94950,174818,"Alcoholic beverage, distilled, vodka, 80 proof"
93826,174145,"Alcoholic beverage, beer, light, higher alcohol"
81780,167697,"Milk, buttermilk, fluid, cultured, reduced fat"
87459,170872,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
87464,170874,"Milk, buttermilk, fluid, cultured, lowfat"
87486,170882,"Milk, sheep, fluid"
87492,170885,"Whey, acid, fluid"
88314,171265,"Milk, whole, 3.25% milkfat, with added vitamin D"
88320,171267,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
88325,171269,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
88350,171278,"Milk, goat, fluid, with added vitamin D"
88358,171282,"Whey, sweet, fluid"
90080,172205,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D"
90101,172217,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D"
90117,172225,"Milk, buttermilk, fluid, whole"
92516,173432,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)"
92542,173441,"Milk, fluid, 1% fat, without added vitamin A and vitamin D"
92855,173573,"Oil, avocado"
92862,173576,"Oil, oat"
92866,173577,"Fish oil, cod liver"
92869,173578,"Fish oil, sardine"
88704,171427,"Oil, hazelnut"
88692,171423,"Oil, poppyseed"
88668,171413,"Oil, olive, salad or cooking"
88662,171411,"Oil, soybean, salad or cooking"
88659,171410,"Oil, peanut, salad or cooking"
81792,167702,"Oil, flaxseed, cold pressed"
87816,171031,"Oil, almond"
90375,172336,"Oil, canola"
90378,172337,"Oil, mustard"
90381,172338,"Oil, sunflower, high oleic (70% and over)"
90389,172340,"Fish oil, herring"
90392,172341,"Fish oil, menhaden"
90398,172343,"Fish oil, salmon"
90463,172370,"Oil, vegetable, soybean, refined"
87813,171030,"Oil, walnut"
87807,171028,"Oil, grapeseed"
87804,171027,"Oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)"
87801,171026,"Oil, safflower, salad or cooking, linoleic, (over 70%)"
87798,171025,"Oil, sunflower, linoleic, (approx. 65%)"
87781,171017,"Oil, sunflower, linoleic (less than 60%)"
87778,171016,"Oil, sesame, salad or cooking"
87769,171013,"Oil, rice bran"
85578,169867,"Oil, corn and canola"
86169,170172,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)"
86171,170173,"Nuts, coconut milk, canned (liquid expressed from grated meat and water)"
82677,168212,"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium"
82495,168117,"Cranberry juice, unsweetened"
82575,168157,"Lime juice, canned or bottled, unsweetened"
81894,167748,"Lemon juice from concentrate, canned or bottled"
84237,169100,"Orange juice, chilled, includes from concentrate"
81947,167771,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid"
85690,169925,"Tangerine juice, raw"
82006,167807,"Cherry juice, tart"
91855,173042,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid"
91853,173041,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid"
89188,171687,"Acerola juice, raw"
94072,174278,"Soy sauce made from soy (tamari)"
90635,172446,"Soymilk, original and vanilla, unfortified"
90679,172473,"Soy sauce made from soy and wheat (shoyu), low sodium"
90654,172456,"Soymilk, original and vanilla, with added calcium, vitamins A and D"
83862,168836,"Syrups, corn, dark"
83864,168837,"Syrups, corn, light"
85299,169659,"Syrups, corn, high-fructose"
86358,170276,"Syrup, maple, Canadian"
86828,170545,"Tomato juice, canned, without salt added"
